,UID,Frequencylist,Lslist,Rslist
0,0,0.01,7.42298,0.0316101
1,1,0.02,7.3716300000000015,0.0479746
2,2,0.03,7.30992,0.06883260000000001
3,3,0.04,7.24855,0.09020239999999999
4,4,0.05,7.196160000000001,0.110517
5,5,0.06,7.15215,0.129072
6,6,0.07,7.11572,0.14594100000000002
7,7,0.08,7.08523,0.161241
8,8,0.09,7.05965,0.175352
9,9,0.1,7.03823,0.188503
10,10,0.11,7.019819999999999,0.200823
11,11,0.12,7.003889999999999,0.21257800000000002
12,12,0.13,6.98993,0.223798
13,13,0.14,6.97772,0.234658
14,14,0.15,6.966760000000001,0.24512199999999998
15,15,0.16,6.956919999999999,0.255387
16,16,0.17,6.9478800000000005,0.265392
17,17,0.18,6.939589999999999,0.275186
18,18,0.19,6.93203,0.28479499999999996
19,19,0.2,6.9250099999999986,0.29427800000000004
20,20,0.21,6.91843,0.30354899999999996
21,21,0.22,6.9123399999999995,0.312672
22,22,0.23,6.9047600000000005,0.320368
23,23,0.24,6.8994399999999985,0.329176
24,24,0.25,6.8944100000000015,0.337897
25,25,0.26,6.889880000000001,0.346531
26,26,0.27,6.88541,0.35484499999999997
27,27,0.28,6.8811,0.363137
28,28,0.29,6.87702,0.37142800000000004
29,29,0.3,6.87308,0.379423
30,30,0.31,6.8694099999999985,0.387278
31,31,0.32,6.86584,0.39519499999999996
32,32,0.33,6.8624100000000015,0.403059
33,33,0.34,6.859189999999999,0.410613
34,34,0.35,6.85607,0.418249
35,35,0.36,6.85303,0.42582600000000004
36,36,0.37,6.8502,0.433271
37,37,0.38,6.84747,0.440621
38,38,0.39,6.84489,0.447999
39,39,0.4,6.84247,0.455163
40,40,0.41,6.83997,0.46223100000000006
41,41,0.42,6.8376,0.46924
42,42,0.43,6.835260000000001,0.476102
43,43,0.44,6.8331,0.482862
44,44,0.45,6.83097,0.48973599999999995
45,45,0.46,6.8289,0.496674
46,46,0.47,6.826969999999998,0.5032939999999999
47,47,0.48,6.825080000000002,0.509942
48,48,0.49,6.82326,0.5166569999999999
49,49,0.5,6.821460000000001,0.52318
50,50,0.51,6.8199,0.529686
51,51,0.52,6.818160000000001,0.535998
52,52,0.53,6.816560000000001,0.542308
53,53,0.54,6.815010000000001,0.5485180000000001
54,54,0.55,6.81349,0.554715
55,55,0.56,6.81205,0.561107
56,56,0.57,6.81062,0.5673050000000001
57,57,0.58,6.8092799999999984,0.573333
58,58,0.59,6.80795,0.579554
59,59,0.6,6.8066699999999996,0.585687
60,60,0.61,6.805389999999999,0.591784
61,61,0.62,6.804169999999999,0.5975050000000001
62,62,0.63,6.80294,0.603355
63,63,0.64,6.801810000000001,0.609189
64,64,0.65,6.80076,0.615029
65,65,0.66,6.7996,0.621013
66,66,0.67,6.7986,0.626819
67,67,0.68,6.79758,0.632605
